Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019
Receita líquida,"1,61 B","1,42 B","1,42 B","1,35 B","1,22 B","1,03 B","1,06 B","998,09 M","837,38 M","811,60 M","751,87 M","727,75 M","594,96 M","580,48 M","626,66 M","602,78 M","447,37 M","491,22 M","456,45 M","451,34 M","339,29 M","345,26 M","325,90 M","246,20 M","227,32 M","301,65 M","261,52 M","267,73 M","188,37 M"
Custos,"-982,91 M","-847,02 M","-850,70 M","-813,82 M","-741,30 M","-630,62 M","-646,43 M","-615,55 M","-520,77 M","-497,86 M","-467,97 M","-453,19 M","-371,79 M","-358,74 M","-392,92 M","-387,29 M","-281,46 M","-304,78 M","-281,48 M","-288,42 M","-218,94 M","-205,43 M","-202,54 M","-159,14 M","-149,18 M","-182,68 M","-180,69 M","-166,98 M","-133,04 M"
Lucro bruto,"629,66 M","572,70 M","566,23 M","532,78 M","474,89 M","404,35 M","409,45 M","382,53 M","316,61 M","313,73 M","283,90 M","274,55 M","223,16 M","221,74 M","233,74 M","215,50 M","165,91 M","186,44 M","174,97 M","162,92 M","120,34 M","139,83 M","123,36 M","87,07 M","78,14 M","118,97 M","80,83 M","100,75 M","55,33 M"
Despesas operacionais,"-226,51 M","-226,77 M","-237,56 M","-218,55 M","-195,64 M","-176,99 M","-198,24 M","-180,59 M","-137,44 M","-130,06 M","-148,34 M","-126,69 M","-108,33 M","-97,84 M","-119,27 M","-103,50 M","-86,84 M","-50,84 M","-88,92 M","-72,17 M","-56,36 M","-56,24 M","-56,03 M","-38,29 M","-52,81 M","-38,80 M","-31,21 M","-21,74 M","-26,62 M"
Despesas com vendas,"-119,07 M","-129,09 M","-134,82 M","-124,75 M","-106,24 M","-103,98 M","-113,85 M","-97,94 M","-76,09 M","-75,48 M","-81,00 M","-66,73 M","-62,03 M","-54,55 M","-59,38 M","-53,84 M","-44,42 M","-46,96 M","-47,95 M","-38,95 M","-30,36 M","-26,31 M","-27,43 M","-26,34 M","-22,05 M","-39,64 M","-26,57 M","-20,31 M","-14,14 M"
Despesas administrativas,"-64,93 M","-58,58 M","-66,01 M","-64,40 M","-50,35 M","-52,89 M","-68,03 M","-62,20 M","-41,30 M","-36,08 M","-54,24 M","-42,09 M","-33,38 M","-30,21 M","-49,41 M","-34,14 M","-22,81 M","-26,69 M","-31,12 M","-24,04 M","-20,61 M","-22,15 M","-25,63 M","-14,51 M","-28,38 M","-18,59 M","-24,84 M","-27,17 M","-26,24 M"
EBIT,"403,14 M","345,92 M","328,67 M","314,22 M","279,25 M","227,37 M","211,20 M","201,94 M","179,17 M","183,67 M","135,56 M","147,87 M","114,84 M","123,90 M","114,47 M","112,00 M","79,07 M","135,60 M","86,05 M","90,74 M","63,98 M","83,59 M","67,33 M","48,78 M","25,33 M","80,17 M","49,63 M","79,01 M","28,71 M"
Resultado operacional,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Resultado financeiro,"-10,71 M","-8,91 M","-8,69 M","-15,63 M","-14,58 M","-12,80 M","-7,61 M","-5,75 M","-4,92 M","680,00 Mil","-3,55 M","-5,60 M","-5,44 M","-11,68 M","-4,07 M","-4,61 M","-4,08 M","-13,25 M","-1,07 M","-5,38 M","-5,03 M","-2,53 M","-1,21 M","-2,89 M","-2,17 M","-6,78 M","-4,44 M","262,00 Mil","-453,00 Mil"
Antes dos impostos,"392,44 M","337,01 M","319,97 M","298,60 M","264,67 M","214,56 M","203,59 M","196,19 M","174,26 M","184,35 M","132,02 M","142,26 M","109,39 M","112,22 M","110,41 M","107,39 M","74,99 M","122,35 M","84,98 M","85,36 M","58,95 M","81,05 M","66,12 M","45,88 M","23,16 M","73,39 M","45,18 M","79,27 M","28,26 M"
Imposto,"-41,28 M","-39,82 M","-36,76 M","-31,44 M","-31,00 M","-25,69 M","-23,00 M","-20,91 M","-20,19 M","-19,76 M","-19,13 M","-18,20 M","-15,34 M","-14,95 M","-15,53 M","-14,45 M","-11,64 M","-10,71 M","-10,33 M","-8,41 M","-6,88 M","-6,70 M","-6,90 M","-4,87 M","-7,74 M","-6,87 M","-4,88 M","-5,54 M","-4,75 M"
Op. continuadas,"351,16 M","297,19 M","283,21 M","267,16 M","233,66 M","188,87 M","180,59 M","175,28 M","154,07 M","164,59 M","112,89 M","124,07 M","94,06 M","97,28 M","94,87 M","92,94 M","63,35 M","111,64 M","74,65 M","76,95 M","52,07 M","74,35 M","59,22 M","41,01 M","15,42 M","66,52 M","40,30 M","73,73 M","23,51 M"
Op. descontinuadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucro líquido,"351,16 M","297,19 M","283,21 M","267,16 M","233,66 M","188,87 M","180,59 M","175,28 M","154,07 M","164,59 M","112,89 M","124,07 M","94,06 M","97,28 M","94,87 M","92,94 M","63,35 M","111,64 M","74,65 M","76,95 M","52,07 M","74,35 M","59,22 M","41,01 M","15,42 M","66,52 M","40,30 M","73,73 M","23,51 M"
Dos controladores,"302,87 M","270,08 M","255,25 M","236,73 M","213,47 M","165,78 M","170,57 M","172,25 M","141,24 M","160,32 M","108,22 M","121,37 M","91,85 M","91,78 M","89,87 M","86,33 M","61,90 M","103,75 M","67,41 M","78,60 M","49,99 M","67,97 M","49,35 M","36,99 M","6,50 M","50,37 M","30,31 M","61,07 M","18,38 M"
Dos não controladores,"48,32 M","27,11 M","27,96 M","30,43 M","20,19 M","23,09 M","10,02 M","3,04 M","12,83 M","4,27 M","4,67 M","2,70 M","2,21 M","5,49 M","5,00 M","6,61 M","1,45 M","7,89 M","7,24 M","-1,65 M","2,08 M","6,39 M","9,86 M","4,02 M","8,92 M","16,14 M","10,00 M","12,66 M","5,13 M"
