Conta,1T2026 (TTM),2025,2024,2023,2022
P/L,--,--,--,-,-
P/VP,--,--,--,-,-
P/EBIT,--,--,--,-,-
P/EBIT *,--,--,--,-,-
PSR,--,--,--,-,-
P/Ativos,--,--,--,-,-
LPA,--,--,--,-,-
VPA,--,--,--,-,-
EBIT por ação,--,--,--,-,-
EBIT por ação *,--,--,--,-,-
Ativo por ação,--,--,--,-,-
Receita líquida por ação,--,--,--,-,-
Margem bruta,"14,55%","14,46%","13,64%","15,08%","-678,59%"
Margem líquida,"-2,37%","-2,23%","-0,86%","1,42%","9,23%"
Margem EBIT,"1,64%","1,65%","1,55%","3,14%","-687,69%"
Margem EBIT *,"1,90%","2,14%","1,80%","3,09%","-688,22%"
Margem EBITDA,"3,30%","3,32%","3,25%","4,96%","-687,02%"
Margem EBITDA *,"3,56%","3,81%","3,51%","4,91%","-687,55%"
Margem operacional,"-2,76%","-2,68%","-1,35%","0,15%","-690,29%"
ROE,"-15,65%","-14,14%","-4,58%","5,11%","32,08%"
ROA,"-0,04","-0,03","-0,01","0,02","0,12"
ROIC,"3,60%","3,39%","3,02%","5,34%","-1.501,96%"
ROIC *,"4,16%","4,39%","3,51%","5,25%","-1.503,13%"
Giro do ativo,"1,53","1,52","1,37","1,25","1,33"
EBIT *,245 mi,273 mi,220 mi,294 mi,-18.467 mi
EBITDA,427 mi,425 mi,398 mi,472 mi,-18.434 mi
EBITDA *,460 mi,487 mi,429 mi,467 mi,-18.449 mi
Liquidez corrente,"1,40","1,41","1,59","2,27","2,70"
Liquidez seca,"0,71","0,62","0,71","0,98","1,66"
Liquidez imediata,"0,11","0,08","0,02","0,06","0,04"
Dívida bruta,3.003 mi,2.940 mi,3.353 mi,2.294 mi,366 mi
Dívida líquida,2.515 mi,2.674 mi,2.516 mi,1.493 mi,66 mi
Capital de giro,1.340 mi,1.353 mi,1.993 mi,2.655 mi,1.027 mi
Endividamento geral,"329,92%","317,45%","286,95%","189,28%","160,88%"
