Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"680,47 M","693,05 M","711,33 M","688,25 M","685,59 M","724,49 M","693,47 M","636,88 M","639,09 M","665,62 M","651,49 M","639,36 M","621,86 M","642,77 M","631,57 M","625,59 M","625,63 M","642,73 M","644,65 M","624,39 M","603,67 M","598,82 M","636,54 M","651,38 M","677,83 M","676,09 M","783,53 M","707,34 M","760,77 M","792,47 M","764,24 M","756,97 M","710,85 M","703,93 M","711,42 M","752,29 M","739,05 M","742,51 M","779,63 M","750,62 M","748,81 M","776,17 M","810,59 M","796,94 M","817,40 M","796,71 M","811,92 M","789,91 M","815,39 M","838,61 M","797,02 M","755,45 M","773,92 M","505,25 M","492,50 M","468,11 M","473,98 M","460,47 M","437,26 M","369,28 M","343,65 Mil","332,50 M","309,06 M"
Ativo circulante,"444,23 M","459,75 M","479,71 M","456,56 M","456,23 M","495,69 M","463,83 M","407,01 M","412,01 M","437,69 M","425,18 M","411,06 M","395,94 M","417,06 M","409,80 M","404,03 M","403,05 M","418,28 M","397,80 M","375,64 M","353,26 M","345,87 M","350,10 M","352,79 M","374,86 M","392,74 M","400,71 M","323,11 M","357,05 M","392,90 M","378,91 M","366,10 M","333,92 M","338,82 M","350,76 M","391,30 M","380,06 M","383,63 M","439,14 M","404,17 M","402,51 M","429,63 M","474,57 M","464,76 M","488,91 M","456,79 M","461,62 M","436,49 M","468,04 M","480,99 M","443,94 M","401,03 M","418,52 M","300,56 M","290,20 M","289,37 M","296,72 M","287,73 M","267,14 M","218,02 M","194,96 Mil","186,22 M","159,75 M"
Caixa e eq. de caixa,"25,45 M","37,26 M","69,94 M","66,14 M","88,64 M","119,91 M","124,13 M","93,94 M","112,33 M","125,15 M","114,83 M","103,00 M","95,00 M","98,33 M","80,83 M","62,56 M","80,08 M","89,63 M","100,37 M","100,20 M","94,46 M","65,26 M","38,28 M","47,85 M","46,10 M","54,11 M","78,85 M","27,97 M","46,82 M","69,86 M","45,52 M","47,11 M","26,76 M","14,83 M","12,00 M","36,51 M","24,39 M","16,98 M","66,64 M","32,23 M","20,88 M","20,02 M","31,77 M","53,21 M","67,99 M","32,60 M","54,03 M","27,65 M","51,92 M","46,34 M","34,35 M","5,90 M","34,55 M","14,66 M","36,52 M","69,74 M","71,82 M","60,85 M","66,46 M","8,20 M","9,81 Mil","4,07 M","8,22 M"
Aplicações financeiras,"102,00 Mil","1,12 M","197,00 Mil","440,00 Mil","373,00 Mil","366,00 Mil","368,00 Mil","322,00 Mil","97,00 Mil","119,00 Mil","186,00 Mil","8,82 M","8,70 M","8,32 M","9,20 M","8,04 M","7,97 M","7,71 M","12,87 M","11,45 M","11,48 M","11,31 M","46,80 M","20,29 M","6,89 M","6,83 M","4,01 M","7,78 M","7,54 M","7,54 M","18,25 M","10,84 M",0,0,0,"249,00 Mil","802,00 Mil","1,05 M",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"15,34 M","5,17 M","19,13 M","8,94 M",0,0,188,0,0
Contas a receber,"202,62 M","229,72 M","189,31 M","193,93 M","176,36 M","190,19 M","151,58 M","154,03 M","136,13 M","152,11 M","129,82 M","134,69 M","128,74 M","148,18 M","128,63 M","140,95 M","122,99 M","142,79 M","106,20 M","101,11 M","97,77 M","133,45 M","91,11 M","81,37 M","112,31 M","154,79 M","131,46 M","138,13 M","137,00 M","160,18 M","140,16 M","146,64 M","154,48 M","191,61 M","172,74 M","184,52 M","181,40 M","219,62 M","187,99 M","196,92 M","195,90 M","227,05 M","184,83 M","200,75 M","197,12 M","229,99 M","179,89 M","185,76 M","190,06 M","232,04 M","174,40 M","173,20 M","160,67 M","149,25 M","109,94 M","116,50 M","109,07 M","121,55 M","93,33 M","104,84 M","95,15 Mil","111,67 M","91,41 M"
Estoques,"180,96 M","154,09 M","183,32 M","164,49 M","161,15 M","142,94 M","146,08 M","112,98 M","121,31 M","117,53 M","129,96 M","119,33 M","122,84 M","119,50 M","137,59 M","135,14 M","126,13 M","106,82 M","120,71 M","104,11 M","91,15 M","76,98 M","113,39 M","139,51 M","150,19 M","122,61 M","143,32 M","115,88 M","132,49 M","115,11 M","145,05 M","133,76 M","121,03 M","105,59 M","140,36 M","144,22 M","150,74 M","125,93 M","153,23 M","152,13 M","161,63 M","152,72 M","183,51 M","158,72 M","156,15 M","133,63 M","171,97 M","176,46 M","183,80 M","162,78 M","199,51 M","187,96 M","182,52 M","108,15 M","95,59 M","79,04 M","79,41 M","83,99 M","97,68 M","83,23 M","72,08 Mil","54,94 M","48,53 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"236,24 M","233,30 M","231,62 M","231,69 M","229,36 M","228,79 M","229,64 M","229,87 M","227,07 M","227,93 M","226,31 M","228,29 M","225,92 M","225,70 M","221,77 M","221,56 M","222,58 M","224,45 M","246,86 M","248,75 M","250,40 M","252,95 M","286,44 M","298,59 M","302,97 M","283,35 M","382,82 M","384,23 M","403,72 M","399,57 M","385,33 M","390,88 M","376,93 M","365,11 M","360,66 M","360,99 M","358,99 M","358,87 M","340,49 M","346,45 M","346,30 M","346,54 M","336,02 M","332,17 M","328,49 M","339,91 M","350,30 M","353,42 M","347,35 M","357,62 M","353,08 M","354,42 M","355,41 M","204,69 M","202,30 M","178,74 M","177,27 M","172,75 M","170,12 M","151,26 M","148,69 Mil","146,28 M","149,31 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imobilizado,"29,80 M","26,58 M","26,05 M","26,69 M","26,57 M","26,16 M","27,43 M","27,48 M","26,96 M","27,56 M","26,64 M","28,35 M","26,86 M","26,44 M","23,54 M","23,09 M","24,69 M","25,65 M","25,56 M","25,05 M","27,09 M","28,13 M","33,26 M","36,25 M","38,68 M","38,99 M","39,76 M","39,28 M","40,53 M","36,72 M","36,70 M","36,40 M","36,02 M","34,87 M","35,28 M","35,81 M","35,57 M","35,78 M","34,37 M","37,89 M","38,28 M","39,60 M","31,43 M","30,99 M","31,79 M","33,36 M","39,46 M","41,77 M","42,31 M","43,49 M","43,67 M","42,12 M","41,18 M","31,74 M","29,66 M","25,28 M","23,84 M","22,73 M","18,47 M","14,57 M","12,59 Mil","10,84 M","11,87 M"
