Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"37,35 B","35,56 B","31,52 B","29,80 B","27,16 B","25,48 B","24,05 B","22,16 B","20,79 B","19,67 B","18,10 B","17,64 B","16,11 B","15,49 B","14,96 B","14,89 B","13,56 B","12,99 B","11,98 B","11,52 B","10,72 B","11,25 B","10,11 B","10,62 B","9,97 B","10,44 B","9,70 B","9,44 B","9,10 B","10,04 B","9,40 B","8,84 B","9,22 B","9,80 B","9,89 B","9,76 B","9,78 B","10,69 B","10,72 B","11,28 B","11,74 B","12,58 B","11,74 B","12,13 B","12,55 B","13,51 B","12,60 B","12,71 B","13,34 B","14,08 B","13,93 B","13,84 B","13,53 B","14,38 B","12,85 B","12,32 B","11,55 B","12,14 B","10,50 B","10,30 B","9,52 B","11,04 B","9,40 B"
Ativo circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"5,58 B","5,42 B","5,42 B","5,41 B","5,13 B","5,16 B","5,40 B","6,07 B","5,61 B","5,74 B","5,84 B","5,55 B","5,09 B","5,05 B","5,22 B","4,99 B","5,27 B","5,28 B","5,83 B","5,57 B","5,66 B","5,82 B","6,40 B","6,47 B","6,65 B","7,15 B","7,07 B","7,45 B","7,51 B","7,67 B","8,48 B","8,55 B","9,00 B","8,92 B","9,34 B","9,15 B","9,07 B","9,00 B","8,62 B","8,21 B","7,79 B","6,70 B","7,09 B","6,68 B","6,11 B","6,25 B","5,32 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Intangível,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo total,"37,35 B","35,56 B","31,52 B","29,80 B","27,16 B","25,48 B","24,05 B","22,16 B","20,79 B","19,67 B","18,10 B","17,64 B","16,11 B","15,49 B","14,96 B","14,89 B","13,56 B","12,99 B","11,98 B","11,52 B","10,72 B","11,25 B","10,11 B","10,62 B","9,97 B","10,44 B","9,70 B","9,44 B","9,10 B","10,04 B","9,40 B","8,84 B","9,22 B","9,80 B","9,89 B","9,76 B","9,78 B","10,69 B","10,72 B","11,28 B","11,74 B","12,58 B","11,74 B","12,13 B","12,55 B","13,51 B","12,60 B","12,71 B","13,34 B","14,08 B","13,93 B","13,84 B","13,53 B","14,38 B","12,85 B","12,32 B","11,55 B","12,14 B","10,50 B","10,30 B","9,52 B","11,04 B","9,40 B"
Passivo circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"4,58 B","4,50 B","4,25 B","3,58 B","2,97 B","3,02 B","2,62 B","3,63 B","3,56 B","3,37 B","3,30 B","2,59 B","2,30 B","2,37 B","2,21 B","2,14 B","2,25 B","2,46 B","2,83 B","2,87 B","2,67 B","2,75 B","3,14 B","3,79 B","4,17 B","4,35 B","4,68 B","5,13 B","5,07 B","5,26 B","4,94 B","4,51 B","4,69 B","4,53 B","5,01 B","4,91 B","4,81 B","4,91 B","4,54 B","4,75 B","4,69 B","3,99 B","4,62 B","4,77 B","4,62 B","3,89 B","3,83 B"
Fornecedores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Empréstimos e financ.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Emprést. de longo prazo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Patrimônio líquido,"3,02 B","2,33 B","2,30 B","2,11 B","1,94 B","1,89 B","1,96 B","1,81 B","1,71 B","1,61 B","1,51 B","1,44 B","1,39 B","1,36 B","1,33 B","1,32 B","1,27 B","1,22 B","1,11 B","1,07 B","1,04 B","1,06 B","980,28 M","955,02 M","934,28 M","930,32 M","878,33 M","850,25 M","820,96 M","854,55 M","805,10 M","793,26 M","785,91 M","819,35 M","762,52 M","705,85 M","700,06 M","957,21 M","712,19 M","711,02 M","717,41 M","814,39 M","715,00 M","700,45 M","670,91 M","743,71 M","723,49 M","753,51 M","807,70 M","966,73 M","819,45 M","827,01 M","834,66 M","861,09 M","826,55 M","813,05 M","728,39 M","670,30 M","713,31 M","694,36 M","685,75 M","625,29 M","444,81 M"
Aos não controladores,"35,54 M","39,08 M","41,46 M","38,62 M","37,91 M","36,59 M","37,51 M","36,49 M","41,47 M","39,44 M","42,67 M","42,39 M","46,23 M","46,38 M","47,58 M","47,63 M",--,"47,42 M",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
