Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"9,84 B","10,40 B","10,02 B","9,97 B","10,05 B","10,57 B","9,69 B","9,57 B","8,98 B","9,02 B","9,49 B","8,75 B","8,56 B","8,44 B","8,09 B","8,20 B","8,45 B","9,16 B","9,07 B","7,92 B","7,71 B","7,10 B","6,83 B","5,69 B","7,80 B","7,63 B","7,03 B","8,28 B","8,29 B","7,78 B","7,30 B","7,11 B","6,74 B","7,79 B","6,63 B","6,90 B","6,47 B","6,57 B","6,20 B","6,39 B","6,35 B","6,75 B","6,83 B","6,24 B","6,48 B","6,19 B","6,17 B","5,67 B","6,62 B","6,58 B","6,49 B","6,20 B","5,97 B","5,97 B","5,85 B","5,44 B","5,06 B","5,26 B","5,22 B","5,27 B","4,98 B","4,81 B","4,36 B"
Ativo circulante,"6,38 B","7,15 B","6,77 B","6,75 B","6,93 B","7,48 B","6,84 B","6,78 B","6,22 B","6,39 B","6,79 B","6,16 B","6,00 B","5,94 B","5,63 B","5,86 B","6,08 B","6,93 B","7,07 B","6,17 B","6,09 B","5,42 B","5,28 B","4,28 B","5,95 B","5,90 B","3,68 B","6,44 B","6,63 B","6,23 B","5,73 B","5,57 B","4,52 B","5,69 B","4,60 B","4,53 B","4,17 B","4,28 B","4,02 B","4,19 B","4,11 B","4,37 B","4,69 B","4,24 B","4,59 B","4,40 B","4,44 B","3,98 B","4,90 B","4,80 B","4,79 B","4,52 B","4,33 B","4,28 B","4,23 B","3,80 B","3,42 B","3,48 B","3,25 B","3,29 B","3,14 B","2,91 B","2,90 B"
Caixa e eq. de caixa,"1,96 B","2,63 B","2,16 B","2,38 B","2,88 B","3,38 B","2,64 B","2,33 B","1,83 B","2,13 B","2,06 B","1,81 B","1,68 B","1,52 B","1,28 B","1,17 B","1,33 B","1,68 B","2,26 B","2,12 B","2,32 B","1,91 B","2,02 B","1,28 B","1,71 B","1,63 B","712,34 M","840,00 M","987,86 M","959,16 M","733,37 M","667,51 M","884,70 M","1,17 B","974,84 M","801,88 M","565,98 M","756,35 M","580,33 M","521,45 M","449,74 M","490,11 M","449,41 M","322,44 M","537,36 M","722,87 M","873,51 M","692,86 M","891,65 M","971,51 M","681,12 M","491,86 M","405,30 M","377,56 M","519,03 M","257,06 M","384,34 M","665,09 M","399,08 M","549,89 M","390,62 M","503,78 M","531,75 M"
Aplicações financeiras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contas a receber,"2,64 B","2,79 B","2,66 B","2,63 B","2,13 B","2,18 B","2,24 B","2,63 B","2,78 B","2,78 B","2,89 B","2,70 B","2,74 B","2,93 B","2,40 B","2,61 B","2,78 B","2,98 B","2,69 B","2,35 B","2,36 B","2,28 B","1,74 B","1,28 B","1,34 B","1,46 B","1,12 B","1,00 B","1,20 B","1,15 B","911,40 M","765,99 M","1,60 B","2,53 B","1,52 B","1,67 B","1,65 B","1,58 B","1,31 B","1,45 B","1,38 B","1,66 B","1,41 B","1,19 B","1,22 B","1,19 B","910,77 M","968,90 M","1,15 B","1,11 B","1,11 B","1,24 B","1,19 B","1,29 B","1,10 B","1,06 B","986,51 M","961,85 M","828,01 M","876,76 M","905,63 M","957,72 M","1,03 B"
Estoques,"1,27 B","1,31 B","1,62 B","1,49 B","1,58 B","1,50 B","1,64 B","1,37 B","1,26 B","1,19 B","1,56 B","1,36 B","1,37 B","1,17 B","1,51 B","1,61 B","1,67 B","1,86 B","1,77 B","1,45 B","1,14 B","913,12 M","913,36 M","743,76 M","854,72 M","760,79 M","1,07 B","969,74 M","830,03 M","797,24 M","815,58 M","892,67 M","1,28 B","1,19 B","1,44 B","1,37 B","1,33 B","1,16 B","1,32 B","1,18 B","1,20 B","1,15 B","1,50 B","1,43 B","1,37 B","1,18 B","1,45 B","1,20 B","1,09 B","1,15 B","1,18 B","1,04 B","1,00 B","896,55 M","997,23 M","917,55 M","827,32 M","805,85 M","1,01 B","914,14 M","966,87 M","905,57 M","639,90 M"
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"3,46 B","3,25 B","3,25 B","3,22 B","3,13 B","3,09 B","2,84 B","2,79 B","2,76 B","2,63 B","2,70 B","2,59 B","2,56 B","2,51 B","2,46 B","2,34 B","2,37 B","2,23 B","1,99 B","1,75 B","1,62 B","1,68 B","1,55 B","1,41 B","1,85 B","1,74 B","3,34 B","1,84 B","1,66 B","1,55 B","1,57 B","1,54 B","2,22 B","2,10 B","2,03 B","2,38 B","2,30 B","2,29 B","2,18 B","2,20 B","2,24 B","2,38 B","2,14 B","2,00 B","1,89 B","1,79 B","1,72 B","1,69 B","1,72 B","1,77 B","1,70 B","1,67 B","1,64 B","1,69 B","1,63 B","1,63 B","1,64 B","1,78 B","1,98 B","1,98 B","1,84 B","1,90 B","1,46 B"
Investimentos,"2,63 M","2,58 M","2,59 M","2,62 M","2,79 M","2,96 M","2,90 M","2,95 M","3,61 M","3,61 M","73,69 M","73,69 M","71,78 M","71,78 M","135,47 M","138,78 M","141,22 M","143,61 M","148,24 M","151,03 M","153,69 M","155,30 M","142,00 M","144,05 M","145,27 M","147,14 M","149,01 M","150,86 M","151,82 M","152,75 M","153,09 M","154,54 M","158,75 M","154,96 M","157,40 M","152,64 M","146,37 M","148,75 M","147,69 M","145,09 M","122,29 M","125,94 M","114,34 M","114,76 M","5,53 M","5,51 M","5,50 M","5,50 M","5,50 M","5,50 M","5,50 M","5,50 M","5,49 M","5,49 M","5,49 M","5,49 M","5,48 M","5,48 M","5,54 M","5,54 M","5,54 M","5,54 M","6,15 M"
Imobilizado,"1,65 B","1,64 B","1,71 B","1,67 B","1,69 B","1,71 B","1,59 B","1,61 B","1,55 B","1,44 B","1,58 B","1,57 B","1,58 B","1,54 B","1,52 B","1,43 B","1,24 B","1,23 B","1,02 B","936,21 M","881,19 M","883,67 M","873,77 M","879,91 M","879,38 M","860,73 M","828,45 M","808,15 M","828,74 M","720,38 M","672,33 M","667,52 M","1,30 B","1,33 B","1,29 B","1,27 B","1,22 B","1,22 B","1,18 B","1,16 B","1,18 B","1,19 B","1,15 B","1,06 B","1,05 B","997,94 M","965,90 M","926,95 M","920,49 M","923,08 M","901,50 M","894,39 M","876,20 M","887,51 M","863,75 M","866,87 M","853,65 M","878,15 M","866,80 M","836,59 M","848,60 M","866,70 M","849,68 M"
Intangível,"30,60 M","32,83 M","33,78 M","37,02 M","40,27 M","43,32 M","36,16 M","39,45 M","37,59 M","33,99 M","30,03 M","28,30 M","29,27 M","28,02 M","23,15 M","23,79 M","26,59 M","24,59 M","22,94 M","23,64 M","26,77 M","30,12 M","32,96 M","36,35 M","39,83 M","38,80 M","39,56 M","43,72 M","47,52 M","48,89 M","50,66 M","53,04 M","160,59 M","159,65 M","161,16 M","156,13 M","146,84 M","142,99 M","139,80 M","132,03 M","107,50 M","106,20 M","100,72 M","97,73 M","99,66 M","90,00 M","90,51 M","83,07 M","83,99 M","84,44 M","80,92 M","76,97 M","76,34 M","78,25 M","76,40 M","70,70 M","71,35 M","72,40 M","70,22 M","69,93 M","66,42 M","66,69 M","64,21 M"
