Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,4T2019
Ativo total,"1,27 B","1,31 B","1,34 B","1,47 B","1,46 B","1,56 B","1,45 B","1,60 B","3,20 B","3,44 B","3,21 B","3,31 B","3,20 B","3,21 B","3,33 B","3,07 B","2,93 B","2,75 B","1,50 B","1,36 B","576,77 M","420,90 M","240,75 M"
Ativo circulante,"623,49 M","647,42 M","630,57 M","732,43 M","714,30 M","718,08 M","609,12 M","729,46 M","897,37 M","1,13 B","867,46 M","926,79 M","987,92 M","997,88 M","1,16 B","1,01 B","967,69 M","821,02 M","901,03 M","965,50 M","234,93 M","231,49 M","157,55 M"
Caixa e eq. de caixa,"25,41 M","77,59 M","69,01 M","81,52 M","71,58 M","104,78 M","69,26 M","90,08 M","187,95 M","414,15 M","174,96 M","207,75 M","267,75 M","293,12 M","262,08 M","223,97 M","196,90 M","210,04 M","596,53 M","757,25 M","39,80 M","67,25 M","15,31 M"
Aplicações financeiras,"95,94 M","45,07 M","8,60 M","19,80 M","15,60 M","23,65 M","21,12 M","30,91 M","14,32 M","10,09 M","34,67 M","17,82 M",0,0,0,0,0,0,"14,49 M",0,0,0,0
Contas a receber,"247,54 M","328,54 M","324,22 M","436,02 M","450,42 M","451,69 M","365,71 M","439,57 M","504,66 M","495,98 M","430,91 M","481,45 M","472,97 M","431,45 M","480,56 M","435,96 M","414,46 M","382,81 M","185,57 M","142,38 M","118,19 M","99,80 M","89,58 M"
Estoques,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativos biológicos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ativo não circulante,"649,85 M","661,77 M","706,27 M","733,82 M","744,02 M","843,39 M","838,55 M","867,83 M","2,30 B","2,31 B","2,34 B","2,38 B","2,21 B","2,21 B","2,18 B","2,06 B","1,97 B","1,93 B","602,43 M","390,77 M","341,84 M","189,41 M","83,20 M"
Investimentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"718,00 Mil","698,00 Mil","589,00 Mil","595,00 Mil","479,00 Mil","7,91 M","7,27 M"
Imobilizado,"78,19 M","83,39 M","89,37 M","103,00 M","104,74 M","115,39 M","146,46 M","152,11 M","151,16 M","152,57 M","178,17 M","191,97 M","201,33 M","205,13 M","189,62 M","189,85 M","166,10 M","148,76 M","112,88 M","103,45 M","67,44 M","48,88 M","41,52 M"
Intangível,"377,95 M","386,01 M","407,45 M","414,92 M","419,63 M","485,87 M","428,82 M","445,47 M","1,84 B","1,87 B","1,89 B","1,91 B","1,74 B","1,74 B","1,75 B","1,64 B","1,60 B","1,59 B","438,21 M","248,94 M","239,76 M","106,01 M","25,19 M"
Passivo total,"1,27 B","1,31 B","1,34 B","1,47 B","1,46 B","1,56 B","1,45 B","1,60 B","3,20 B","3,44 B","3,21 B","3,31 B","3,20 B","3,21 B","3,33 B","3,07 B","2,93 B","2,75 B","1,50 B","1,36 B","576,77 M","420,90 M","240,75 M"
Passivo circulante,"374,07 M","417,55 M","330,04 M","485,55 M","978,04 M","1,24 B","807,52 M","779,40 M","814,26 M","1,03 B","893,48 M","902,14 M","802,93 M","1,01 B","1,00 B","1,13 B","1,04 B","872,25 M","426,81 M","267,31 M","280,74 M","239,37 M","164,38 M"
Fornecedores,"205,90 M","242,50 M","194,24 M","318,39 M","325,19 M","395,13 M","285,90 M","354,20 M","436,04 M","580,78 M","429,52 M","449,79 M","380,26 M","478,39 M","602,18 M","543,08 M","481,54 M","448,89 M","141,78 M","155,84 M","127,59 M","161,17 M","115,70 M"
Empréstimos e financ.,"84,72 M","84,06 M","52,84 M","70,00 M","541,61 M","737,37 M","406,16 M","298,90 M","251,19 M","324,56 M","282,22 M","257,00 M","239,30 M","330,96 M","160,93 M","155,34 M","116,45 M","44,13 M","35,73 M","38,11 M","53,85 M","38,13 M","19,90 M"
Passivo não circulante,"746,96 M","696,57 M","668,47 M","1,18 B","628,12 M","418,01 M","741,25 M","821,47 M","845,53 M","796,43 M","945,91 M","990,01 M","1,03 B","760,20 M","813,44 M","761,59 M","659,40 M","588,85 M","155,09 M","167,05 M","216,95 M","122,50 M","35,80 M"
Emprést. de longo prazo,"418,36 M","374,08 M","365,33 M","901,26 M","289,46 M","69,31 M","395,38 M","445,71 M","482,66 M","437,58 M","482,82 M","490,73 M","548,62 M","300,90 M","425,64 M","429,49 M","329,77 M","320,56 M","61,06 M","57,58 M","64,38 M","65,51 M","27,96 M"
Patrimônio líquido,"152,31 M","195,07 M","338,32 M","-201,37 M","-147,83 M","-100,67 M","-101,10 M","-3,58 M","1,54 B","1,62 B","1,37 B","1,42 B","1,37 B","1,44 B","1,52 B","1,18 B","1,24 B","1,29 B","921,55 M","921,91 M","79,09 M","59,03 M","40,56 M"
Aos não controladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
