Conta,1T2026,4T2025,3T2025,2T2025,1T2025,4T2024,3T2024,2T2024,1T2024,4T2023,3T2023,2T2023,1T2023,4T2022,3T2022,2T2022,1T2022,4T2021,3T2021,2T2021,1T2021,4T2020,3T2020,2T2020,1T2020,4T2019,3T2019,2T2019,1T2019,4T2018,3T2018,2T2018,1T2018,4T2017,3T2017,2T2017,1T2017,4T2016,3T2016,2T2016,1T2016,4T2015,3T2015,2T2015,1T2015,4T2014,3T2014,2T2014,1T2014,4T2013,3T2013,2T2013,1T2013,4T2012,3T2012,2T2012,1T2012,4T2011,3T2011,2T2011,1T2011,4T2010,4T2009
Ativo total,"13,09 B","12,75 B","13,17 B","13,52 B","12,37 B",0,"9,94 B","10,13 B","9,76 B","8,97 B","8,91 B","8,63 B","8,47 B","7,76 B","8,06 B","8,17 B","7,94 B","7,32 B","7,36 B","7,25 B","7,06 B","6,83 B","6,64 B","6,16 B","5,85 B","5,53 B","5,53 B","5,49 B","5,48 B","5,25 B","5,20 B","5,22 B","5,05 B","4,87 B","4,72 B","4,63 B","4,70 B","4,21 B","4,09 B","3,97 B","3,88 B","3,77 B","3,79 B","3,98 B","3,90 B","3,73 B","3,60 B","3,67 B","3,68 B","3,38 B","3,48 B","3,24 B","3,21 B","2,94 B","2,86 B","2,95 B","2,92 B","2,76 B","2,65 B","2,74 B","2,68 B","2,60 B","2,28 B"
Ativo circulante,--,--,--,--,--,"6,20 B","4,65 B","4,98 B","4,84 B","4,18 B","4,30 B","4,14 B","4,62 B","3,99 B","4,39 B","4,54 B","4,36 B","3,83 B",--,"3,65 B","3,61 B","3,51 B","3,87 B","4,00 B","3,72 B","3,48 B","3,54 B","3,58 B","3,67 B","3,49 B","3,52 B","3,60 B","3,93 B","3,46 B","3,59 B","3,51 B","3,58 B","3,11 B","3,01 B","2,91 B","2,82 B","2,76 B","2,78 B","3,01 B","2,91 B","2,67 B","2,45 B","2,56 B","2,61 B","2,29 B","2,15 B","1,78 B","1,76 B","2,19 B","2,14 B","2,22 B","2,16 B","1,95 B","1,49 B","1,64 B","1,55 B","1,77 B","1,36 B"
Caixa e eq. de caixa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,"134,44 M","67,67 M"
Aplicações financeiras,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Contas a receber,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Estoques,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativos biológicos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Ativo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Investimentos,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Imobilizado,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Intangível,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo total,--,"12,75 B","13,17 B","13,52 B","12,37 B",0,"9,94 B","10,13 B","9,76 B","8,97 B","8,91 B","8,63 B","8,47 B","7,76 B","8,06 B","8,17 B","7,94 B","7,32 B","7,36 B","7,25 B","7,06 B","6,83 B","6,64 B","6,16 B","5,85 B","5,53 B","5,53 B","5,49 B","5,48 B","5,25 B","5,20 B","5,22 B","5,05 B","4,87 B","4,72 B","4,63 B","4,70 B","4,21 B","4,09 B","3,97 B","3,88 B","3,77 B","3,79 B","3,98 B","3,90 B","3,73 B","3,60 B","3,67 B","3,68 B","3,38 B","3,48 B","3,24 B","3,21 B","2,94 B","2,86 B","2,95 B","2,92 B","2,76 B","2,65 B","2,74 B","2,68 B","2,60 B","2,28 B"
Passivo circulante,--,--,--,--,--,"6,35 B","6,19 B","6,26 B","6,19 B","5,68 B","5,56 B","5,43 B","5,36 B","5,31 B","5,12 B","5,10 B","4,98 B","4,92 B",--,"4,83 B","4,70 B","4,60 B","4,29 B","4,04 B","3,77 B","3,82 B","3,81 B","3,68 B","3,81 B","3,71 B","3,61 B","3,60 B","3,40 B","3,24 B","3,08 B","2,95 B","3,05 B","2,83 B","2,78 B","2,56 B","2,54 B","2,56 B","2,37 B","2,58 B","2,53 B","2,49 B","2,48 B","2,47 B","2,38 B","2,28 B","2,12 B","2,02 B","2,06 B","1,94 B","1,88 B","1,81 B","1,80 B","1,77 B","1,68 B","1,66 B","1,63 B","1,61 B","1,34 B"
Fornecedores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Empréstimos e financ.,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Passivo não circulante,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Emprést. de longo prazo,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Patrimônio líquido,--,"910,54 M","868,62 M","838,36 M","832,10 M",0,"764,11 M","714,73 M","676,77 M","668,27 M","616,71 M","597,59 M","609,25 M","595,56 M","582,34 M","579,29 M","573,28 M","561,32 M","556,94 M","535,14 M","509,05 M","485,13 M","497,84 M","491,54 M","450,51 M","433,86 M","380,89 M","364,55 M","424,98 M","405,94 M","400,67 M","388,28 M","381,15 M","361,07 M","346,88 M","333,97 M","343,75 M","334,47 M","317,53 M","299,40 M","297,44 M","288,63 M","310,95 M","295,31 M","281,64 M","278,66 M","295,36 M","295,81 M","287,52 M","279,49 M","273,29 M","263,65 M","277,79 M","257,81 M","247,86 M","237,59 M","247,08 M","228,58 M","224,09 M","200,14 M","196,31 M","216,09 M","184,59 M"
Aos não controladores,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
